id,min,quantile_25,median,quantile_75,max,mean,sd,mad,skness,kurtos,min_bc,quantile_25_bc,median_bc,quantile_75_bc,max_bc,mean_bc,sd_bc,mad_bc,skness_bc,kurtos_bc,min_op,quantile_25_op,median_op,quantile_75_op,max_op,mean_op,sd_op,mad_op,skness_op,kurtos_op,op_sum,Missing_Vals,m,m_rob,m_bc,m_bc_rob,Grade
1000,0.9399975,1.4111625,1.63065,1.83495,2.89765,1.679821074,0.385685364,0.31786944,0.917475251,3.642707121,200.8567432,0.375847217,0.540075088,0.665801213,1.488892341,0.576417115,-0.828673837,-1.021745304,40.35891285,0.763994289,0,0,0,0,0,0,0,0,0,0,0,0,3.37194627,0,3.852967845,0,Good
1161,0.8496725,1.2018,1.3362875,1.5102375,3.389525,1.398269655,0.313182878,0.224650965,1.556286778,6.690903795,199.0482054,0.192532782,0.307372045,0.438845903,1.800159409,0.358751344,-0.980353806,-1.287577096,46.33767577,0.910284535,0,0,0,0,0,0,0,0,0,0,0,0,13.62927993,0,8.425855106,0,Good
1162,0.850895,1.16275,1.295625,1.47050625,3.29645,1.340627649,0.267237388,0.224057925,1.406403918,6.929126279,199.0726286,0.156617722,0.272884221,0.408796124,1.742723037,0.31101574,-1.089720525,-1.289530497,44.89825155,0.916509307,0,0,0,0,0,0,0,0,0,0,0,0,19.12682831,0,8.052727595,0,Good
1163,0.7846175,1.1785875,1.3113875,1.47591875,2.725325,1.336619316,0.236414148,0.220036373,0.682461564,4.36979106,197.7506919,0.171255397,0.286329189,0.412922915,1.374916736,0.307650866,-1.170710501,-1.302886757,38.26205389,0.816436387,0,0,0,0,0,0,0,0,0,0,0,0,3.134382575,0,5.900258736,0,Good
1164,0.7256675,1.1024,1.3541375,1.5599875,2.3551,1.348295488,0.296753805,0.338014268,0.223097763,2.456820822,196.5785969,0.09990476,0.322312601,0.475702698,1.119803265,0.31743588,-1.018084712,-0.972703548,34.32296536,0.616320609,0,0,0,0,0,0,0,0,0,0,0,0,1.942154208,0,3.879069491,0,Good
1491,1.00175,1.38211875,1.5891375,2.0108875,3.573875,1.797598731,0.562878937,0.393092858,1.129003105,3.248219744,202.0978819,0.351270933,0.50887814,0.77717069,1.912091604,0.660946241,-0.527878736,-0.849602268,42.29345251,0.726274281,0,0,0,0,0,0,0,0,0,0,0,0,7.859332917,0,4.938113648,0,Good
1492,0.9221275,1.45981875,1.8414875,2.18850625,2.638175,1.807448126,0.422960608,0.52795386,-0.292259266,1.877747651,200.4982926,0.416459186,0.691593109,0.882884906,1.316179869,0.667862664,-0.758383799,-0.597964278,30.15489416,0.480903004,0,0,0,0,0,0,0,0,0,0,0,0,3.028279144,0,5.683166334,0,Good
1493,1.384025,1.91804375,2.211725,2.5020375,4.300275,2.31541444,0.568969814,0.431251275,1.144963167,3.89231002,209.865944,0.76986913,0.934254369,1.055679893,2.332288058,0.997772055,-0.518805725,-0.772172484,42.44123149,0.784093751,0,0,0,0,0,0,0,0,0,0,0,0,3.976167372,0,4.83716075,0,Good
1494,1.2202,2.21255,2.5418875,2.8450125,3.987225,2.47338729,0.557081637,0.467815898,-0.418523667,2.736864302,206.5190259,0.974928571,1.130801773,1.228128012,2.154985846,1.091342778,-0.536578494,-0.702949374,29.17420808,0.662128468,0,0,0,0,0,0,0,0,0,0,0,0,8.377229347,0,10.63388295,0,Good
1611,2.105075,3.13538125,4.2118875,6.16415625,7.857025,4.599498909,1.612277074,2.082256103,0.179101509,1.467484618,224.9158979,1.541401559,1.943556573,2.418957516,4.074545951,2.102822387,0.513564468,0.790532945,33.95676625,0.324352892,0,0,1,1,1,0,1,1,0,1,5,0,35.08682539,0,26.8161022,0,Good
1612,2.6837,4.2017625,4.8453875,5.39383125,7.0264,4.805568614,0.812757218,0.87236184,-0.042275078,2.469046443,237.3691303,2.099640228,2.199713834,2.193138384,3.702272355,2.184226877,-0.201007042,-0.133588309,32.14353058,0.61852614,1,1,1,1,0,0,0,0,0,0,4,0,21.34265075,0,26.37766206,0,Good
1613,1.73265,2.372475,2.69085,3.15168125,3.7855,2.759816506,0.458578279,0.558106238,0.224869086,1.906176682,217.0776226,1.080568129,1.214461012,1.370386344,2.037774484,1.252252812,-0.695163261,-0.548884417,34.33774935,0.489368471,0,0,0,0,0,0,0,0,0,0,0,0,6.22755534,0,9.970270437,0,Good
1614,1.96285,2.603025,2.798925,3.09686875,4.491,2.913245501,0.482946137,0.340126972,1.001926401,3.520920043,221.9061769,1.226778579,1.27343187,1.345694032,2.437779677,1.334341963,-0.653866694,-0.967696467,41.12589961,0.753206788,0,0,0,0,0,0,0,0,0,0,0,0,6.566835516,0,8.126107332,0,Good
1821,1.301425,2.27989375,3.8479875,5.4181125,6.282925,3.812425755,1.618084658,2.32686657,-0.072642868,1.266053194,208.1750849,1.019863408,1.785815486,2.200590161,3.353820658,1.769928144,0.517716312,0.920544109,31.89861869,0.212543558,0,0,0,1,0,0,1,1,0,1,3,0,21.88266885,0,23.25941668,0,Good
1822,1.3055,2.39189375,3.872625,5.25046875,6.515,3.808141359,1.483006365,2.127419805,-0.037518448,1.622077944,208.258342,1.093149689,1.796770786,2.148655779,3.464278833,1.768008082,0.418310918,0.815425047,32.18197565,0.392170621,0,0,0,1,0,0,1,1,0,0,2,0,17.63205627,0,18.55154001,0,Good
1823,1.083375,1.70310625,1.9895375,2.36953125,4.079675,2.07790281,0.502213303,0.480899843,0.790401243,3.339600362,203.7442816,0.61006226,0.791856238,0.984615358,2.207908494,0.849578042,-0.622235381,-0.679227888,39.21826424,0.73576455,0,0,0,0,0,0,0,0,0,0,0,0,4.964752917,0,1.954622069,0,Good
1824,1.10845,1.8018375,2.104625,2.49134375,4.0044,2.1816972,0.504088084,0.503361233,0.689768528,3.215033917,204.2513893,0.684650815,0.866742479,1.05004384,2.164854431,0.915527594,-0.61920315,-0.639680192,38.32641679,0.722701035,0,0,0,0,0,0,0,0,0,0,0,0,3.491941967,0,1.449809934,0,Good
2000,0.588875,0.648680625,0.67454,0.697985,0.773945,0.673750634,0.034143295,0.036153201,0.043337844,2.523691597,193.8721578,-0.389185765,-0.364286013,-0.340844268,-0.237526554,-0.365286073,-2.123096483,-2.411970325,32.83895127,0.628135904,0,0,0,0,0,0,1,1,0,0,1,0,5.107285621,0,10.62099068,0,Good
2031,0.9206375,1.19969375,1.2872125,1.38166875,1.684625,1.287519402,0.127503782,0.13402704,-0.021309983,2.594809441,200.4684195,0.190610645,0.265668403,0.339489044,0.612366757,0.265932145,-1.536384689,-1.649927901,32.31314916,0.640065927,0,0,0,0,0,0,0,0,0,0,0,0,3.468736224,0,5.749828975,0,Good
2032,0.90883,1.18221875,1.2886625,1.393275,1.71425,1.289641829,0.145376176,0.156469898,0.10198247,2.503986971,200.2317681,0.174597664,0.266914154,0.348717658,0.636329656,0.267755057,-1.46425838,-1.545306576,33.31954259,0.624716637,0,0,0,0,0,0,0,0,0,0,0,0,2.566314968,0,2.808391264,0,Good
2033,1.273,1.834925,2.0600125,2.5555625,3.4941,2.197551479,0.481988392,0.457808348,0.548509149,2.260793009,207.5947903,0.70918807,0.838012441,1.083639186,1.863944966,0.925434217,-0.65546192,-0.7214534,37.0916043,0.57787105,0,0,0,0,0,0,0,0,0,0,0,0,6.000906444,0,5.886515121,0,Good
2034,1.3741,1.96851875,2.2584,2.604625,3.5406,2.307458704,0.438433437,0.48273456,0.359642743,2.392248535,209.6624142,0.806078224,0.9630627,1.108909616,1.892061934,0.992959769,-0.730479108,-0.675942827,35.47181198,0.604316693,0,0,0,0,0,0,0,0,0,0,0,0,4.756933819,0,2.42648713,0,Good
2241,0.7273125,1.0002575,1.247275,1.55820625,2.5664,1.308501014,0.368718421,0.396649244,0.654954421,2.681292913,196.6112571,0.000257483,0.231020095,0.474397387,1.267220163,0.283874379,-0.862251114,-0.842138329,38.02023794,0.653762193,0,0,0,0,0,0,0,0,0,0,0,0,2.300274331,0,5.111371214,0,Good
2242,0.67108,0.975871875,1.21035,1.4787875,2.580675,1.258612612,0.344984647,0.365409009,0.706528588,2.991605708,195.4963397,-0.024275449,0.19838801,0.415105915,1.277000735,0.240923033,-0.911084944,-0.909623986,38.4742483,0.696688376,0,0,0,0,0,0,0,0,0,0,0,0,2.654137136,0,5.187241993,0,Good
2243,1.333725,1.85631875,2.160075,2.74963125,4.1948,2.35824483,0.637730445,0.580549095,0.778516215,2.612521447,208.8354681,0.724935779,0.901946981,1.181701256,2.273145393,1.02351046,-0.4208068,-0.513710644,39.11240697,0.642941077,0,0,0,0,0,0,0,0,0,0,0,0,5.454049075,0,4.947597946,0,Good
2244,1.124875,1.84280625,2.3441375,2.79498125,4.001375,2.36161768,0.611919261,0.708701333,0.277516485,2.241800974,204.5839034,0.715,1.01506404,1.203913591,2.163117526,1.025525378,-0.456683615,-0.331416525,34.77859281,0.573807026,0,0,0,0,0,0,0,0,0,0,0,0,2.899138591,0,3.111461362,0,Good
2631,1.020375,1.2337,1.3173,1.52780625,2.907725,1.518936923,0.457404605,0.163623443,1.500381188,3.846018769,202.4729668,0.221440974,0.291347368,0.451957299,1.495470814,0.454989244,-0.697190699,-1.514473892,45.7981505,0.780553447,0,0,0,0,0,0,0,0,0,0,0,0,9.566372491,0,10.56432403,0,Good
2632,1.0822,1.31421875,1.4666,1.77006875,2.41955,1.549209836,0.284456171,0.2750223,0.686891112,2.326287701,203.7205343,0.292787605,0.413833157,0.622844322,1.165308954,0.478407433,-1.047295818,-1.134916876,38.30106489,0.591401907,0,0,0,0,0,0,0,0,0,0,0,0,7.627555153,0,5.237012049,0,Good
2633,1.03755,1.891075,2.2625375,2.63758125,3.433675,2.223886315,0.508115341,0.55404762,-0.296932202,2.308566607,202.8191579,0.750327253,0.965599107,1.125697745,1.82718338,0.941795335,-0.612716146,-0.555365497,30.11831572,0.587812813,0,0,0,0,0,0,0,0,0,0,0,0,2.962489994,0,5.320346275,0,Good
2634,1.51075,2.014325,2.197425,2.36126875,2.876725,2.188785696,0.243460906,0.2550072,0.015832064,2.492570537,212.4733252,0.838538356,0.925355356,0.980092859,1.475200054,0.919962196,-1.151570618,-1.192670707,32.61472688,0.622712096,0,0,0,0,0,0,0,0,0,0,0,0,4.21721719,0,5.469487962,0,Good
2731,1.430225,1.92996875,2.192175,2.4862,3.191875,2.219181082,0.35948801,0.411013785,0.238420924,2.217800287,210.8146541,0.778466304,0.922079518,1.047326835,1.677410379,0.938880665,-0.880974211,-0.812523781,34.45096088,0.568576688,0,0,0,0,0,0,0,0,0,0,0,0,1.934748141,0,3.08066902,0,Good
2732,1.316925,1.89161875,2.148225,2.34883125,3.0676,2.126327118,0.313654489,0.330638333,-0.085663525,2.409844506,208.4918568,0.750722632,0.894469535,0.973264228,1.598670165,0.880586399,-0.979291384,-0.990382462,31.79389143,0.607648328,0,0,0,0,0,0,0,0,0,0,0,0,3.041532311,0,2.197229454,0,Good
2733,-17.37975,1.81924375,2.0019875,2.18194375,6.4805,1.721289834,1.960134875,0.268758315,-7.374832719,60.7377278,1.0277083,0.697586885,0.800080647,0.879088067,3.447959057,0.606573335,0.745768355,-1.15262098,-0.220634379,1.083527901,1,0,0,0,0,0,1,0,1,1,3,0,42.00366564,0,41.92520805,0,tbd
2734,1.4256,1.8809125,2.015,2.1878375,2.895375,2.057716799,0.25801978,0.220573815,0.709332633,3.252590999,210.7195843,0.742927268,0.808643908,0.882498355,1.487405614,0.836523976,-1.113222554,-1.301090622,38.49900871,0.726739787,0,0,0,0,0,0,0,0,0,0,0,0,6.18456942,0,8.130612421,0,Good
3000,0.369605,0.422634375,0.44063125,0.45807625,0.518455,0.440850848,0.024825232,0.026125265,0.053866892,2.608636419,189.5729386,-0.699793286,-0.69876604,-0.696030035,-0.542901956,-0.69840702,-2.233449706,-2.569784407,32.92498327,0.642313605,0,1,1,1,1,0,1,1,0,0,5,0,5.70149771,0,12.65626885,0,Good
3681,1.46225,1.9717,2.2758875,2.6822,3.873575,2.361484994,0.476259419,0.507920227,0.582242905,2.519914445,211.4735353,0.808344708,0.973764118,1.148194445,2.089249855,1.025446145,-0.665050767,-0.631825826,37.38467278,0.627484406,0,0,0,0,0,0,0,0,0,0,0,0,0.766598656,0,1.167988947,0,Good
3682,1.406025,1.97535,2.193375,2.45793125,3.759675,2.228606187,0.3316549,0.355712805,0.485125329,3.089222678,210.3174445,0.810942902,0.922828696,1.032324204,2.022590523,0.944715359,-0.939550926,-0.931505397,36.54402304,0.708493101,0,0,0,0,0,0,0,0,0,0,0,0,2.422651143,0,1.512653449,0,Good
3683,0.85824,1.4887875,1.7313375,1.993175,3.27815,1.761493131,0.38429554,0.370149623,0.400030297,2.954826396,199.2193985,0.440317602,0.613814258,0.76627507,1.73135421,0.63539593,-0.831384934,-0.899094053,35.81519312,0.69204869,0,0,0,0,0,0,0,0,0,0,0,0,3.450523074,0,1.005847621,0,Good
3684,0.8118425,1.38400625,1.7490625,2.1066875,3.30615,1.766123547,0.437684713,0.535996965,0.247025178,2.182725074,198.293176,0.3528759,0.626526688,0.834964866,1.748738899,0.638690125,-0.731813395,-0.584657775,34.5229358,0.560736544,0,0,0,0,0,0,0,0,0,0,0,0,5.730106382,0,5.010006423,0,Good
4000,0.37004,0.429994375,0.45134875,0.46983,0.5283075,0.450267798,0.027247476,0.02972613,-0.050030643,2.495304962,189.58142,-0.688520873,-0.681367674,-0.675908626,-0.530136899,-0.683111132,-2.20229681,-2.508438697,32.08089537,0.623193804,0,0,1,1,1,0,1,1,0,0,4,0,5.970550169,0,13.30445389,0,Good
4001,1.051075,1.516025,1.7286625,1.9496375,2.7665,1.746189901,0.339395494,0.32135355,0.34414893,2.633594446,203.0919847,0.46253934,0.611888968,0.739202424,1.40240588,0.624471716,-0.922925296,-1.013089415,35.34051413,0.646313933,0,0,0,0,0,0,0,0,0,0,0,0,0.735327041,0,0.812840505,0,Good
4002,1.0496,1.542725,1.69735,1.89109375,2.866375,1.743527097,0.356400001,0.255933825,0.602471224,3.118940417,203.0622221,0.484129626,0.589218099,0.7021231,1.468412803,0.622565012,-0.887313049,-1.189918542,37.56095597,0.711947337,0,0,0,0,0,0,0,0,0,0,0,0,1.455374711,0,0.774022378,0,Good
4003,1.007175,1.42569375,1.721025,1.8773,2.4063,1.65161293,0.283544647,0.298021133,-0.373639328,2.058861468,202.207099,0.388048366,0.606382138,0.693270006,1.155993615,0.555647963,-1.049495931,-1.072552569,29.52099501,0.531024185,0,0,0,0,0,0,0,0,0,0,0,0,20.00861122,0,3.419441971,0,Good
4004,0.9399975,1.4111625,1.63065,1.83495,2.89765,1.679821074,0.385685364,0.31786944,0.917475251,3.642707121,200.8567432,0.375847217,0.540075088,0.665801213,1.488892341,0.576417115,-0.828673837,-1.021745304,40.35891285,0.763994289,0,0,0,0,0,0,0,0,0,0,0,0,3.37194627,0,3.852967845,0,Good
